name,h2,h3,h4,endorser,link
Amy Klobuchar,Federal officials,Vice Presidents,Former,Walter Mondale,https://en.wikipedia.org/wiki/Walter_Mondale
Amy Klobuchar,Federal officials,U.S. Senators,Current,Tina Smith,https://en.wikipedia.org/wiki/Tina_Smith
Amy Klobuchar,Federal officials,U.S. Representatives,Current,Linda Sánchez,https://en.wikipedia.org/wiki/Linda_S%C3%A1nchez
Amy Klobuchar,Federal officials,U.S. Representatives,Current,Angie Craig,https://en.wikipedia.org/wiki/Angie_Craig
Amy Klobuchar,Federal officials,U.S. Representatives,Current,Dean Phillips,https://en.wikipedia.org/wiki/Dean_Phillips
Amy Klobuchar,Federal officials,U.S. Representatives,Current,Collin Peterson,https://en.wikipedia.org/wiki/Collin_Peterson
Amy Klobuchar,Federal officials,U.S. Representatives,Current,Betty McCollum,https://en.wikipedia.org/wiki/Betty_McCollum
Amy Klobuchar,Federal officials,U.S. Representatives,Former,Joe Sestak,https://en.wikipedia.org/wiki/Joe_Sestak
Amy Klobuchar,Federal officials,Sub-Cabinet-level officials,Former,Roxanne Conlin,https://en.wikipedia.org/wiki/Roxanne_Conlin
Amy Klobuchar,Federal officials,U.S. Ambassadors,Former,Gordon Giffin,https://en.wikipedia.org/wiki/Gordon_Giffin
Amy Klobuchar,Federal officials,U.S. Ambassadors,Former,Samuel D. Heins,https://en.wikipedia.org/wiki/Samuel_D._Heins
Amy Klobuchar,Federal officials,U.S. Ambassadors,Former,Samuel L. Kaplan,https://en.wikipedia.org/wiki/Samuel_L._Kaplan
Amy Klobuchar,Federal officials,U.S. Ambassadors,Former,James B. Smith,https://en.wikipedia.org/wiki/James_B._Smith
Amy Klobuchar,State officials,Governors,Current,Tim Walz,https://en.wikipedia.org/wiki/Tim_Walz
Amy Klobuchar,State officials,Governors,Former,Roy Barnes,https://en.wikipedia.org/wiki/Roy_Barnes
Amy Klobuchar,State officials,Statewide executive officials,Current,Julie Blaha,https://en.wikipedia.org/wiki/Julie_Blaha
Amy Klobuchar,State officials,Statewide executive officials,Current,Peggy Flanagan,https://en.wikipedia.org/wiki/Peggy_Flanagan
Amy Klobuchar,State officials,Statewide executive officials,Current,Debora Pignatelli,https://en.wikipedia.org/wiki/Debora_Pignatelli
Amy Klobuchar,State officials,Statewide executive officials,Current,Peter Franchot,https://en.wikipedia.org/wiki/Peter_Franchot
Amy Klobuchar,State officials,Statewide executive officials,Former,Joe Foster,https://en.wikipedia.org/wiki/Joseph_Foster_(politician)
Amy Klobuchar,State officials,Statewide executive officials,Former,David Frederickson,https://en.wikipedia.org/wiki/David_Frederickson
Amy Klobuchar,State officials,State legislators,Current,Connecticut State Senator,https://en.wikipedia.org/wiki/Connecticut_State_Senate
Amy Klobuchar,State officials,State legislators,Current,Liz Mathis,https://en.wikipedia.org/wiki/Liz_Mathis
Amy Klobuchar,State officials,State legislators,Current,Todd Taylor,https://en.wikipedia.org/wiki/Todd_Taylor
Amy Klobuchar,State officials,State legislators,Current,Kevin Kinney,https://en.wikipedia.org/wiki/Kevin_Kinney_(politician)
Amy Klobuchar,State officials,State legislators,Current,Rich Taylor,https://en.wikipedia.org/wiki/Rich_Taylor_(politician)
Amy Klobuchar,State officials,State legislators,Current,Rob Hogg,https://en.wikipedia.org/wiki/Rob_Hogg
Amy Klobuchar,State officials,State legislators,Current,Chris Hall,https://en.wikipedia.org/wiki/Chris_Hall_(politician)
Amy Klobuchar,State officials,State legislators,Current,Charlie McConkey,https://en.wikipedia.org/wiki/Charlie_McConkey
Amy Klobuchar,State officials,State legislators,Current,Ruth Ann Gaines,https://en.wikipedia.org/wiki/Ruth_Ann_Gaines
